29/10/15,0.3791666667,Wellbeing,Thirsty,Event
29/10/15,0.3854166667,Drink,Coffee,Consume
29/10/15,0.3881944444,Commute,Arrive,Event
29/10/15,0.3888888889,Daily,Start work,Event
29/10/15,0.3944444444,Meal,Good,Consume
29/10/15,0.5590277778,Meal,Good,Consume
29/10/15,0.5597222222,Drink,Water,Consume
29/10/15,0.6145833333,Drink,Water,Consume
29/10/15,0.6152777778,Micro Snack,Good,Consume
29/10/15,0.6875,Drink,Water,Consume
29/10/15,0.6875,Micro Snack,Good,Consume
29/10/15,0.7236111111,Micro Snack,Ok,Consume
29/10/15,0.725,Drink,Water,Consume
29/10/15,0.8,Snack,Ok,Consume
